ModelName,Label,InferenceTime,Recognition,Accuracy
,,,front curtain,4.223634
,,,spotlight,4.061186
mobilenet_v2_0.75_128_quant,label,0.12041330337524414
,,,velvet,4.7109756
,,,nematode,4.7109756
,,,match,4.3860807
,,,front curtain,4.14241
,,,spotlight,3.8987386
mobilenet_v2_0.75_128_quant,label,0.12630367279052734
,,,velvet,4.7109756
,,,nematode,4.629752
,,,match,4.3048573
,,,front curtain,4.14241
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.162642240524292
,,,nematode,4.8734236
,,,velvet,4.7109756
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,4.061186
mobilenet_v2_0.75_128_quant,label,0.1210181713104248
,,,velvet,4.8734236
,,,nematode,4.8734236
,,,match,4.3860807
,,,front curtain,4.3048573
,,,spotlight,4.14241
mobilenet_v2_0.75_128_quant,label,0.11911773681640625
,,,nematode,4.7921996
,,,velvet,4.7921996
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,4.14241
mobilenet_v2_0.75_128_quant,label,0.11675238609313965
,,,velvet,4.7921996
,,,nematode,4.7109756
,,,match,4.3860807
,,,front curtain,4.223634
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.12005233764648438
,,,velvet,4.8734236
,,,nematode,4.5485287
,,,match,4.3860807
,,,front curtain,4.223634
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.10766434669494629
,,,nematode,4.8734236
,,,velvet,4.7921996
,,,match,4.3860807
,,,front curtain,4.3048573
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.11728310585021973
,,,nematode,4.7921996
,,,velvet,4.7921996
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,4.14241
mobilenet_v2_0.75_128_quant,label,0.12072277069091797
,,,velvet,4.7921996
,,,nematode,4.7921996
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,4.14241
mobilenet_v2_0.75_128_quant,label,0.11772823333740234
,,,nematode,4.954647
,,,velvet,4.7921996
,,,match,4.3860807
,,,front curtain,4.223634
,,,spotlight,4.061186
mobilenet_v2_0.75_128_quant,label,0.11869931221008301
,,,velvet,4.7109756
,,,nematode,4.7109756
,,,match,4.3048573
,,,front curtain,4.061186
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.1182105541229248
,,,nematode,4.7109756
,,,velvet,4.629752
,,,match,4.5485287
,,,front curtain,4.223634
,,,spotlight,4.061186
mobilenet_v2_0.75_128_quant,label,0.12304091453552246
,,,velvet,4.7109756
,,,nematode,4.7109756
,,,match,4.4673047
,,,front curtain,4.3048573
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.13956165313720703
,,,nematode,4.7921996
,,,velvet,4.7921996
,,,match,4.629752
,,,front curtain,4.3860807
,,,digital clock,3.9799623
mobilenet_v2_0.75_128_quant,label,0.1406104564666748
,,,velvet,4.629752
,,,nematode,4.629752
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,4.061186
mobilenet_v2_0.75_128_quant,label,0.12434554100036621
,,,nematode,4.7109756
,,,velvet,4.7109756
,,,match,4.4673047
,,,front curtain,4.3048573
,,,spotlight,4.14241
mobilenet_v2_0.75_128_quant,label,0.12065839767456055
,,,nematode,4.8734236
,,,velvet,4.8734236
,,,match,4.4673047
,,,front curtain,4.223634
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.12669754028320312
,,,velvet,4.7921996
,,,nematode,4.629752
,,,match,4.3860807
,,,front curtain,4.223634
,,,spotlight,3.9799623
mobilenet_v2_0.75_128_quant,label,0.11865377426147461
,,,velvet,4.8734236
,,,nematode,4.7921996
,,,match,4.4673047
,,,front curtain,4.3048573
,,,spotlight,4.061186
mobilenet_v2_0.35_128_quant,label,0.06537866592407227
,,,nematode,5.5456886
,,,digital clock,5.4653163
,,,velvet,4.741966
,,,jack-o'-lantern,4.340104
,,,spotlight,4.340104
mobilenet_v2_0.35_128_quant,label,0.06531834602355957
,,,digital clock,5.626061
,,,nematode,5.5456886
,,,velvet,4.6615934
,,,front curtain,4.4204764
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.0652315616607666
,,,digital clock,5.626061
,,,nematode,5.5456886
,,,velvet,4.8223376
,,,front curtain,4.4204764
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.06541848182678223
,,,digital clock,5.7064333
,,,nematode,5.626061
,,,velvet,4.581221
,,,front curtain,4.500849
,,,spotlight,4.500849
mobilenet_v2_0.35_128_quant,label,0.06528449058532715
,,,digital clock,5.7064333
,,,nematode,5.626061
,,,velvet,4.6615934
,,,jack-o'-lantern,4.340104
,,,spotlight,4.340104
mobilenet_v2_0.35_128_quant,label,0.06515979766845703
,,,nematode,5.7064333
,,,digital clock,5.5456886
,,,velvet,4.90271
,,,front curtain,4.340104
,,,jack-o'-lantern,4.259732
mobilenet_v2_0.35_128_quant,label,0.06535220146179199
,,,digital clock,5.7064333
,,,nematode,5.7064333
,,,velvet,4.8223376
,,,spotlight,4.4204764
,,,jack-o'-lantern,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06536674499511719
,,,digital clock,5.7064333
,,,nematode,5.5456886
,,,velvet,4.741966
,,,front curtain,4.340104
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.06531095504760742
,,,nematode,5.7064333
,,,digital clock,5.626061
,,,velvet,4.741966
,,,jack-o'-lantern,4.4204764
,,,front curtain,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06529951095581055
,,,nematode,5.626061
,,,digital clock,5.5456886
,,,velvet,4.741966
,,,spotlight,4.4204764
,,,front curtain,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06526541709899902
,,,digital clock,5.5456886
,,,nematode,5.5456886
,,,velvet,4.6615934
,,,jack-o'-lantern,4.259732
,,,spotlight,4.259732
mobilenet_v2_0.35_128_quant,label,0.06542587280273438
,,,digital clock,5.5456886
,,,nematode,5.5456886
,,,velvet,4.581221
,,,spotlight,4.340104
,,,front curtain,4.340104
mobilenet_v2_0.35_128_quant,label,0.06541633605957031
,,,digital clock,5.626061
,,,nematode,5.626061
,,,velvet,4.6615934
,,,jack-o'-lantern,4.340104
,,,front curtain,4.340104
mobilenet_v2_0.35_128_quant,label,0.0653543472290039
,,,nematode,5.626061
,,,digital clock,5.4653163
,,,velvet,4.581221
,,,spotlight,4.4204764
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.06566357612609863
,,,digital clock,5.626061
,,,nematode,5.626061
,,,velvet,4.741966
,,,spotlight,4.4204764
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.06516122817993164
,,,digital clock,5.626061
,,,nematode,5.5456886
,,,velvet,4.741966
,,,spotlight,4.340104
,,,jack-o'-lantern,4.259732
mobilenet_v2_0.35_128_quant,label,0.06564211845397949
,,,digital clock,5.5456886
,,,nematode,5.4653163
,,,velvet,4.741966
,,,front curtain,4.340104
,,,jack-o'-lantern,4.259732
mobilenet_v2_0.35_128_quant,label,0.06527352333068848
,,,nematode,5.626061
,,,digital clock,5.626061
,,,velvet,4.6615934
,,,front curtain,4.340104
,,,spotlight,4.340104
mobilenet_v2_0.35_128_quant,label,0.06536555290222168
,,,nematode,5.626061
,,,digital clock,5.5456886
,,,velvet,4.6615934
,,,jack-o'-lantern,4.340104
,,,front curtain,4.340104
mobilenet_v2_0.35_128_quant,label,0.06531500816345215
,,,digital clock,5.7064333
,,,nematode,5.5456886
,,,velvet,4.581221
,,,spotlight,4.4204764
,,,front curtain,4.340104
mobilenet_v2_0.35_128_quant,label,0.06544971466064453
,,,nematode,5.626061
,,,digital clock,5.5456886
,,,velvet,4.6615934
,,,jack-o'-lantern,4.340104
,,,front curtain,4.259732
mobilenet_v2_0.35_128_quant,label,0.06534457206726074
,,,nematode,5.7064333
,,,digital clock,5.7064333
,,,velvet,4.6615934
,,,jack-o'-lantern,4.500849
,,,front curtain,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06536602973937988
,,,digital clock,5.7064333
,,,nematode,5.626061
,,,velvet,4.741966
,,,jack-o'-lantern,4.4204764
,,,spotlight,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06531167030334473
,,,digital clock,5.626061
,,,nematode,5.5456886
,,,velvet,4.741966
,,,spotlight,4.259732
,,,jack-o'-lantern,4.259732
mobilenet_v2_0.35_128_quant,label,0.06524300575256348
,,,nematode,5.626061
,,,digital clock,5.626061
,,,velvet,4.741966
,,,spotlight,4.4204764
,,,jack-o'-lantern,4.4204764
mobilenet_v2_0.35_128_quant,label,0.06909584999084473
,,,digital clock,5.626061
,,,nematode,5.5456886
,,,velvet,4.581221
,,,spotlight,4.340104
,,,jack-o'-lantern,4.259732
mobilenet_v2_0.35_128_quant,label,0.06533312797546387
,,,nematode,5.7064333
,,,digital clock,5.7064333
,,,front curtain,4.500849
,,,velvet,4.500849
,,,jack-o'-lantern,4.500849
mobilenet_v2_0.35_128_quant,label,0.06529545783996582
,,,nematode,5.626061
,,,digital clock,5.5456886
,,,velvet,4.90271
,,,front curtain,4.4204764
,,,jack-o'-lantern,4.340104
mobilenet_v2_0.35_128_quant,label,0.06528735160827637
,,,digital clock,5.7064333
,,,nematode,5.7064333
,,,velvet,4.741966
,,,spotlight,4.500849
,,,front curtain,4.500849
mobilenet_v2_0.35_128_quant,label,0.0653085708618164
,,,digital clock,5.7064333
,,,nematode,5.7064333
,,,velvet,4.741966
