ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_0.5_192_quant,label,0.0062713623046875
,,,background,1
,,,mailbox,1
,,,library,1
,,,Briard,1
,,,lighter,1
mobilenet_v2_0.75_128_quant,label,0.013262033462524414
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013324975967407227
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013402700424194336
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013180017471313477
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013392925262451172
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013336181640625
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013135433197021484
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01322031021118164
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01362466812133789
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01337122917175293
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013297319412231445
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013518810272216797
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013444900512695312
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.012980222702026367
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01325845718383789
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013154983520507812
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01318669319152832
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01334834098815918
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013377666473388672
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013144731521606445
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01328134536743164
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013268232345581055
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013176441192626953
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01319575309753418
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013136863708496094
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01318359375
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013160943984985352
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01329946517944336
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013145685195922852
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013130426406860352
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013331174850463867
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013285398483276367
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013303041458129883
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013106584548950195
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01329183578491211
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.013206720352172852
,,,front curtain,208
,,,window shade,5
,,,lampshade,4
,,,fire screen sheet,3
,,,window screen,2
mobilenet_v2_0.75_128_quant,label,0.01313924789428711
,,,front curtain,208
,,,window shade,5
