ModelName,Label,InferenceTime,Recognition,Accuracy
mobilenet_v2_0.75_192_quant,label,0.11003561206669371
,,,nematode,4.335602
,,,spotlight,4.0901904
,,,match,3.9265828
,,,candle,3.844779
,,,front curtain,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10930983372487002
,,,nematode,4.335602
,,,spotlight,4.0901904
,,,match,3.844779
,,,front curtain,3.7629752
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10896749546688164
,,,nematode,4.253798
,,,spotlight,4.0901904
,,,match,3.9265828
,,,digital clock,3.6811714
,,,candle,3.6811714
mobilenet_v2_0.75_192_quant,label,0.10409291533336246
,,,nematode,4.335602
,,,spotlight,4.0901904
,,,match,4.0083866
,,,front curtain,3.7629752
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.11032584518684403
,,,nematode,4.253798
,,,spotlight,4.0083866
,,,match,3.844779
,,,candle,3.7629752
,,,digital clock,3.6811714
mobilenet_v2_0.75_192_quant,label,0.10695482112979844
,,,nematode,4.171994
,,,spotlight,4.0901904
,,,match,3.844779
,,,candle,3.6811714
,,,digital clock,3.6811714
mobilenet_v2_0.75_192_quant,label,0.10795981751146597
,,,nematode,4.335602
,,,spotlight,4.171994
,,,match,4.0083866
,,,front curtain,3.7629752
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.1096099888522397
,,,nematode,4.4174056
,,,spotlight,4.171994
,,,match,3.9265828
,,,front curtain,3.844779
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10524245277909401
,,,nematode,4.335602
,,,spotlight,4.253798
,,,match,3.9265828
,,,candle,3.844779
,,,front curtain,3.6811714
mobilenet_v2_0.75_192_quant,label,0.10734241951456856
,,,nematode,4.4174056
,,,spotlight,4.171994
,,,match,4.0083866
,,,digital clock,3.844779
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10962700289011647
,,,nematode,4.253798
,,,spotlight,4.0901904
,,,match,3.9265828
,,,candle,3.7629752
,,,front curtain,3.7629752
mobilenet_v2_0.75_192_quant,label,0.11090834387374295
,,,nematode,4.4174056
,,,spotlight,4.171994
,,,match,3.9265828
,,,candle,3.6811714
,,,digital clock,3.6811714
mobilenet_v2_0.75_192_quant,label,0.11009822438026973
,,,nematode,4.4174056
,,,spotlight,4.0901904
,,,match,3.9265828
,,,front curtain,3.7629752
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.11106146411984023
,,,spotlight,4.253798
,,,nematode,4.253798
,,,match,4.0083866
,,,front curtain,3.844779
,,,digital clock,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10945160324844048
,,,nematode,4.4174056
,,,spotlight,4.0083866
,,,match,3.844779
,,,candle,3.7629752
,,,front curtain,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10782093397036631
,,,nematode,4.335602
,,,spotlight,4.0083866
,,,match,3.9265828
,,,candle,3.7629752
,,,front curtain,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10563145343519686
,,,nematode,4.335602
,,,spotlight,4.0083866
,,,match,4.0083866
,,,front curtain,3.7629752
,,,candle,3.7629752
mobilenet_v2_0.75_192_quant,label,0.10886570137555447
,,,nematode,4.335602
,,,spotlight,4.253798
,,,match,4.0083866
,,,candle,3.7629752
,,,digital clock,3.6811714
mobilenet_v2_0.75_192_quant,label,0.10869162932356649
,,,nematode,4.4174056
,,,spotlight,4.171994
,,,match,3.9265828
,,,front curtain,3.7629752
,,,digital clock,3.7629752
mobilenet_v2_0.5_96,label,0.014363125238105984
,,,digital clock,6.4731035
,,,nematode,6.1131806
,,,spotlight,5.240977
,,,lampshade,5.0276732
,,,oscilloscope,5.003435
mobilenet_v2_0.5_96,label,0.014073661546390491
,,,digital clock,6.487523
,,,nematode,6.1245265
,,,spotlight,5.224231
,,,lampshade,5.0090666
,,,oscilloscope,4.9998703
mobilenet_v2_0.5_96,label,0.014309177112626673
,,,digital clock,6.472837
,,,nematode,6.142775
,,,spotlight,5.242307
,,,oscilloscope,5.0421433
,,,lampshade,5.0271115
mobilenet_v2_0.5_96,label,0.014519719224075621
,,,digital clock,6.4540105
,,,nematode,6.0931635
,,,spotlight,5.2146807
,,,oscilloscope,5.0219545
,,,lampshade,5.003804
mobilenet_v2_0.5_96,label,0.014809110245139749
,,,digital clock,6.4905767
,,,nematode,6.1364717
,,,spotlight,5.2351356
,,,oscilloscope,5.0177402
,,,lampshade,5.011487
mobilenet_v2_0.5_96,label,0.01490059274972278
,,,digital clock,6.4765663
,,,nematode,6.150994
,,,spotlight,5.216684
,,,oscilloscope,5.03831
,,,lampshade,5.0021067
mobilenet_v2_0.5_96,label,0.0140781054742929
,,,digital clock,6.4669223
,,,nematode,6.124412
,,,spotlight,5.214528
,,,oscilloscope,5.0501995
,,,lampshade,5.0066996
mobilenet_v2_0.5_96,label,0.014179930118791229
,,,digital clock,6.480342
,,,nematode,6.1036825
,,,spotlight,5.2233686
,,,lampshade,5.01322
,,,oscilloscope,5.009473
mobilenet_v2_0.5_96,label,0.014762645489386295
,,,digital clock,6.463012
,,,nematode,6.08
,,,spotlight,5.226145
,,,lampshade,5.0165644
,,,oscilloscope,4.999178
mobilenet_v2_0.5_96,label,0.014695857721501386
,,,digital clock,6.4432335
,,,nematode,6.1192017
,,,spotlight,5.198612
,,,oscilloscope,5.0374007
,,,lampshade,4.9916034
mobilenet_v2_0.5_96,label,0.014978292219584986
,,,digital clock,6.4758377
,,,nematode,6.089756
,,,spotlight,5.24243
,,,lampshade,5.0174656
,,,oscilloscope,4.985555
mobilenet_v2_0.5_96,label,0.014279997089918455
,,,digital clock,6.445673
,,,nematode,6.0927415
,,,spotlight,5.209324
,,,lampshade,5.0124884
,,,oscilloscope,5.006275
mobilenet_v2_0.5_96,label,0.013935707888488143
,,,digital clock,6.4803
,,,nematode,6.113243
,,,spotlight,5.203914
,,,oscilloscope,5.1076455
,,,lampshade,5.040342
mobilenet_v2_0.5_96,label,0.014893615027624867
,,,digital clock,6.462271
,,,nematode,6.147374
,,,spotlight,5.218127
,,,oscilloscope,5.0287232
,,,lampshade,5.007724
mobilenet_v2_0.5_96,label,0.014497674414227764
,,,digital clock,6.468203
,,,nematode,6.1122885
,,,spotlight,5.207475
,,,oscilloscope,5.025965
,,,lampshade,5.005042
mobilenet_v2_0.5_96,label,0.014953895611276222
,,,digital clock,6.449582
,,,nematode,6.1210566
,,,spotlight,5.2258325
,,,oscilloscope,5.0484548
,,,lampshade,5.025142
mobilenet_v2_0.5_96,label,0.014683703085982477
,,,digital clock,6.448499
,,,nematode,6.120521
,,,spotlight,5.222463
,,,oscilloscope,5.062637
,,,lampshade,5.0189147
mobilenet_v2_0.5_96,label,0.014162485328551189
,,,digital clock,6.4493155
,,,nematode,6.1529922
,,,spotlight,5.2031565
,,,oscilloscope,5.075904
,,,lampshade,5.0084667
mobilenet_v2_0.5_96,label,0.014729352809481183
,,,digital clock,6.4395404
,,,nematode,6.103279
,,,spotlight,5.2061253
,,,oscilloscope,5.03027
,,,lampshade,5.019147
mobilenet_v2_0.5_96,label,0.014358839739582555
,,,digital clock,6.455443
,,,nematode,6.0953555
,,,spotlight,5.1979375
,,,lampshade,4.991184
,,,oscilloscope,4.9825535
mobilenet_v2_0.5_96,label,0.014303425708288126
,,,digital clock,6.4589977
,,,nematode,6.079055
,,,spotlight,5.2257
,,,lampshade,5.0070343
,,,oscilloscope,4.953704
mobilenet_v2_0.5_96,label,0.014815347322108615
,,,digital clock,6.441696
,,,nematode,6.0817204
,,,spotlight,5.2062216
,,,lampshade,4.994539
,,,oscilloscope,4.987643
mobilenet_v2_0.5_96,label,0.014427373831258484
